X,Y,record_id,street_num,street_dir,street_name,date_status,address_id,parcel_id,lon,lat,ObjectId
-83.087269,42.380564,VPO2011-03556,751,,CLAIRMOUNT,2022/05/04 04:00:00+00,344110,04002447.,-83.087269,42.380564,1
-83.058214,42.438002,VPO2023-00230,19455,,EUREKA,2023/02/21 05:00:00+00,291700,13018561-2,-83.058214,42.438002,2
-83.211644,42.443471,VPO2011-05004,20543,,FERGUSON,2023/04/05 04:00:00+00,73135,22063524.,-83.211644,42.443471,3
-83.233315,42.363661,VPO2023-00232,9346,,AUBURN,2023/02/15 05:00:00+00,173604,22092326-7,-83.233315,42.363661,4
-83.220578,42.344355,VPO2011-05239,7264,,FAUST,2023/09/21 04:00:00+00,161210,22078398.,-83.220578,42.344355,5
-83.164606,42.366809,VPO2023-00234,9547,,MENDOTA,2023/02/15 05:00:00+00,202556,18017308.,-83.164606,42.366809,6
-83.095327,42.318885,VPO2011-06080,1601,,CLARK,2023/12/19 05:00:00+00,178373,14010191.,-83.095327,42.318885,7
-83.210915,42.408645,VPO2023-00235,16103,,BILTMORE,2023/02/15 05:00:00+00,138021,22064476.,-83.210915,42.408645,8
-83.106757,42.383611,VPO2011-06245,2005,,LAWRENCE,2024/02/12 05:00:00+00,51115,08003328.,-83.106757,42.383611,9
-83.1299,42.412303,VPO2023-00236,16250,,LAWTON,2023/02/15 05:00:00+00,29027,12006207.,-83.1299,42.412303,10
-83.257316,42.415897,VPO2011-07779,17224,,LAHSER,2023/09/13 04:00:00+00,390727,22113377.,-83.257316,42.415897,11
-83.008379,42.344628,VPO2023-00237,6431,E,JEFFERSON,2023/02/15 05:00:00+00,536396,15000032.,-83.008379,42.344628,12
-83.093189,42.371747,VPO2011-09852,1612,W,EUCLID,2023/12/15 05:00:00+00,535612,08002127.,-83.093189,42.371747,13
-83.109401,42.356276,VPO2023-00238,6855,,VINEWOOD,2023/02/15 05:00:00+00,349738,14001548.,-83.109401,42.356276,14
-83.093864,42.37104,VPO2011-09914,1667,W,EUCLID,2023/12/15 05:00:00+00,58397,08002057.,-83.093864,42.37104,15
-82.945772,42.414594,VPO2023-00239,9661,,EVERTS,2023/03/01 05:00:00+00,296518,21072700.,-82.945772,42.414594,16
-83.090805,42.372159,VPO2011-09936,1463,W,EUCLID,2023/12/11 05:00:00+00,59153,06001860.,-83.090805,42.372159,17
-83.008714,42.360951,VPO2023-00240,2900,,FIELD,2023/03/01 05:00:00+00,546475,17013598.,-83.008714,42.360951,18
-83.094214,42.36116,VPO2011-10192,2218,,FERRY PARK,2022/11/01 04:00:00+00,539191,10000997.,-83.094214,42.36116,19
-83.082438,42.354765,VPO2023-00243,5278,,AVERY,2023/03/01 05:00:00+00,46808,08007056.,-83.082438,42.354765,20
-83.143804,42.377902,VPO2012-00618,12127,,PRAIRIE,2023/05/16 04:00:00+00,75706,16023411.,-83.143804,42.377902,21
-82.932802,42.36297,VPO2023-00244,233,,ASHLAND,2023/02/16 05:00:00+00,337972,21062586.,-82.932802,42.36297,22
-82.948089,42.396652,VPO2012-01569,4682,,BEACONSFIELD,2023/04/11 04:00:00+00,310310,21065668.,-82.948089,42.396652,23
-83.03122,42.422443,VPO2023-00245,6820,,EDGETON,2023/03/01 05:00:00+00,266353,15003627.,-83.03122,42.422443,24
